carat,cut,color,clarity,depth,table,x,y,z
0.31,Premium,D,SI1,61.4,58,4.39,4.35,2.69
1.01,Ideal,J,VS2,61.9,55,6.45,6.5,4
0.34,Ideal,D,VS2,62,55,4.47,4.49,2.77
0.3,Ideal,F,VS2,60.7,57,4.3,4.28,2.62
0.71,Ideal,F,VS1,60.8,57,5.74,5.87,3.52
1.52,Premium,H,SI1,61,60,7.46,7.28,4.53
0.3,Good,J,VS2,64.1,60,4.23,4.3,2.68
1.45,Premium,G,VVS2,60.9,60,7.41,7.39,4.37
0.73,Ideal,G,VVS1,61.6,56,5.76,5.8,3.56
0.43,Ideal,E,VVS2,61.3,56,4.87,4.81,2.98
0.41,Ideal,E,VVS1,61.9,56,4.79,4.76,2.96
0.39,Premium,E,VS1,61.5,58,4.73,4.7,2.94
0.52,Premium,E,SI1,61.6,60,5.14,5.18,3.17
0.9,Good,G,I1,63.1,59,6.09,6.09,3.86
1.03,Ideal,J,SI1,61.9,55.3,6.45,6.48,4.01
2.35,Very Good,H,SI2,60.6,60,8.62,8.65,5.23
0.34,Good,D,VS2,59.5,62,4.56,4.59,2.72
0.56,Ideal,E,VS2,61.5,57,5.3,5.27,3.26
2.02,Very Good,I,SI2,62.2,57,7.99,8.11,4.95
1.09,Good,H,VS2,59.6,61,6.72,6.69,4
0.53,Ideal,H,VS1,61.3,57,5.21,5.18,3.22
2.05,Ideal,G,SI2,61.3,57,8.21,8.3,5.05
1.01,Very Good,E,SI1,63.1,57,6.34,6.36,4.01
1.52,Ideal,E,SI1,62.1,54,7.36,7.39,4.59
2.01,Ideal,J,VS2,61,57,8.01,8.12,4.92
0.38,Premium,G,VS2,60.1,61,4.66,4.71,2.79
1.71,Premium,G,VS2,58.1,61,8.02,7.94,4.62
0.8,Ideal,F,VS2,62.7,54,5.92,5.88,3.72
0.3,Ideal,G,VS1,62,57,4.31,4.28,2.66
0.31,Ideal,G,SI1,61.6,55,4.34,4.39,2.69
0.32,Ideal,G,SI1,61.8,56,4.42,4.45,2.72
1.01,Premium,D,SI2,60.9,60,6.5,6.45,3.92
0.37,Ideal,J,VS1,61.9,54,4.6,4.64,2.9
0.38,Good,F,SI1,63.6,57,4.56,4.6,2.88
0.38,Ideal,H,SI1,61.9,54,4.65,4.68,2.9
0.42,Premium,D,SI1,61.5,58,4.83,4.76,2.96
1.01,Very Good,D,IF,63.3,57,6.34,6.36,4.01
0.41,Ideal,D,VS2,61.9,56,4.77,4.81,2.96
0.73,Very Good,E,SI2,63.1,55,5.76,5.72,3.62
0.3,Premium,G,VS1,62.9,58,4.29,4.25,2.7
1.72,Premium,H,SI1,62.4,61,7.63,7.57,4.77
0.38,Premium,H,VS2,60.9,60,4.67,4.65,2.83
1,Very Good,H,SI1,62.1,57,6.35,6.39,3.97
0.31,Very Good,E,SI1,63.4,55,4.35,4.31,2.75
0.65,Premium,F,VS2,62.2,58,5.56,5.51,3.46
1.29,Ideal,J,VS2,61.6,58,6.97,7.03,4.32
0.32,Ideal,I,VS2,61.3,54,4.43,4.46,2.71
1.04,Ideal,H,SI2,60.7,59,6.56,6.56,3.99
1.21,Very Good,D,SI2,60.9,62,6.78,6.83,4.16
0.3,Ideal,I,VS1,62.4,54,4.3,4.32,2.69
0.41,Very Good,D,VS1,61.9,56,4.78,4.8,2.95
1.05,Ideal,I,SI2,61.8,57,6.6,6.6,4.05
1.01,Premium,F,I1,59.8,61,6.45,6.4,3.86
0.32,Ideal,H,VS2,61.7,56,4.37,4.41,2.71
1.01,Premium,G,VS2,60.2,60,6.49,6.55,3.91
0.58,Ideal,E,SI1,61.6,56,5.38,5.33,3.31
1.26,Very Good,G,SI1,63.2,60,6.86,6.8,4.32
0.3,Ideal,E,SI1,62.9,57,4.33,4.29,2.7
0.42,Premium,G,VVS1,59.3,59,4.92,4.88,2.89
1,Ideal,E,VS2,61.6,59,6.39,6.43,3.93
0.8,Good,G,SI1,65.1,57,5.84,5.86,3.81
0.48,Ideal,G,SI2,60,58,5.02,5.05,3.01
0.4,Ideal,I,VVS1,60.5,57,4.81,4.83,2.91
0.71,Premium,J,VS2,62.6,59,5.68,5.62,3.56
0.32,Ideal,H,VS2,61.2,56,4.41,4.44,2.72
0.51,Good,E,VS2,63.1,59,5.03,5.1,3.2
0.38,Ideal,E,VS1,60.7,56,4.73,4.65,2.86
0.25,Premium,F,VS1,59.5,58,4.13,4.07,2.44
0.71,Very Good,J,VS1,64,57,5.61,5.65,3.57
1.32,Ideal,I,SI1,61.5,57,7.09,7.05,4.33
0.45,Ideal,D,VS1,61.6,57,4.92,4.95,3.05
0.41,Ideal,E,VVS2,61.9,55,4.77,4.76,2.96
1.25,Premium,J,VS2,59.8,58,7.07,6.98,4.19
0.51,Premium,G,VS1,59.1,60,5.14,5.14,3.07
0.81,Very Good,G,SI1,60.7,55,6.05,6.08,3.68
1.51,Ideal,I,SI1,62.2,55,7.32,7.4,4.53
1.7,Good,F,VS1,60.8,63,7.78,7.73,4.71
0.25,Very Good,D,VVS2,62.8,57,4.01,4.06,2.52
1.32,Ideal,G,VVS1,62.6,55,7.02,7.05,4.4
1.14,Premium,F,VVS1,60.8,58,6.77,6.7,4.09
0.76,Ideal,E,VS2,61.5,55,5.85,5.9,3.63
1,Ideal,H,SI2,59.4,60,6.55,6.51,3.89
0.41,Premium,D,VS1,62.3,58,4.77,4.73,2.96
0.32,Premium,G,VS2,62.3,60,4.38,4.34,2.73
0.91,Very Good,F,SI2,61.6,56,6.19,6.24,3.82
0.31,Premium,H,VS1,59.9,58,4.45,4.37,2.65
1.31,Ideal,G,VS2,62.3,57,6.96,7.05,4.34
2.01,Ideal,J,SI1,62.3,56,8.05,8.06,4.98
0.7,Ideal,F,VS2,62,57,5.65,5.72,3.51
0.3,Good,H,SI1,63.1,56,4.26,4.34,2.7
0.38,Ideal,G,VS1,62.5,57,4.61,4.67,2.89
1.04,Fair,F,SI1,64.7,58,6.39,6.33,4.12
0.58,Ideal,H,VS2,60.2,59,5.45,5.49,3.26
0.9,Very Good,G,SI2,62.6,60,6.1,6.19,3.83
1.01,Ideal,E,VVS1,62,57,6.38,6.44,3.98
0.7,Good,E,VS1,63.6,58,5.68,5.59,3.6
0.31,Ideal,E,VS1,60.2,57,4.37,4.4,2.64
0.7,Premium,F,VS1,62.1,59,5.67,5.71,3.49
0.33,Good,G,VS2,57,64,4.72,4.75,2.64
0.89,Premium,I,SI2,62.5,58,6.19,6.15,3.83
0.38,Ideal,E,VVS1,62.4,56,4.64,4.66,2.88
0.3,Premium,D,SI1,62.7,59,4.27,4.22,2.67
1.1,Very Good,I,SI2,61.2,58,6.59,6.67,4.09
1.5,Premium,H,VS1,60.6,59,7.34,7.36,4.47
0.32,Ideal,G,VVS1,61.3,56,4.43,4.45,2.72
0.34,Premium,D,VVS2,60.8,59,4.51,4.46,2.74
0.31,Premium,I,SI1,59.6,58,4.44,4.4,2.63
1.27,Premium,J,SI2,62.7,58,6.86,6.82,4.3
0.74,Premium,D,SI1,60.8,58,5.83,5.75,3.54
0.51,Very Good,G,VVS1,61.3,55,5.15,5.12,3.15
0.32,Ideal,D,VS2,62.1,54,4.42,4.43,2.74
1.52,Premium,E,SI2,60.8,57,7.41,7.44,4.49
0.54,Very Good,D,VS2,59.5,56,5.33,5.35,3.19
0.33,Premium,G,VS1,61.8,59,4.4,4.44,2.72
1.05,Ideal,H,SI2,61.2,57,6.54,6.6,4.02
0.78,Premium,F,VS1,59.5,61,5.91,5.86,3.55
0.73,Fair,I,VVS2,65.2,59,5.63,5.69,3.64
0.91,Fair,J,SI2,62.5,66,6.09,6.03,3.8
0.32,Ideal,G,IF,61.4,55,4.4,4.46,2.71
1.17,Premium,G,VS1,60.6,58,6.81,6.86,4.13
1.7,Very Good,G,VS1,60.6,58,7.7,7.69,4.64
0.31,Ideal,D,VVS1,59.5,56,4.48,4.42,2.66
0.31,Very Good,G,VS1,63.3,56,4.33,4.3,2.74
0.63,Good,F,VS1,60.2,65,5.59,5.6,3.32
1.63,Very Good,H,VVS1,60.1,59,7.65,7.67,4.6
1.08,Very Good,F,SI1,58.2,60,6.65,6.73,3.99
0.71,Very Good,I,VS1,62.2,57,5.7,5.73,3.56
0.7,Premium,F,SI1,59.4,60,5.78,5.74,3.42
1.25,Very Good,G,VS2,59.1,57,7,7.06,4.17
0.7,Very Good,J,VS2,61.1,60,5.69,5.74,3.48
1.01,Premium,H,VS2,59.1,63,6.52,6.51,3.82
0.53,Very Good,F,VS2,60.5,56,5.3,5.38,3.15
0.31,Ideal,G,SI2,60.5,57,4.4,4.42,2.67
1.07,Premium,H,VS1,60.9,60,6.62,6.59,4.01
0.32,Premium,G,SI1,62,59,4.4,4.42,2.73
0.51,Very Good,F,SI1,62.5,60,5.06,5.03,3.15
0.71,Ideal,G,VS2,62.5,54,5.67,5.7,3.56
0.32,Very Good,G,VS1,62.5,55,4.37,4.4,2.74
2.01,Good,G,SI1,63.1,62,7.96,7.8,5.03
0.51,Ideal,D,VS1,62.5,55,5.13,5.14,3.19
0.5,Ideal,D,VS2,62.5,56,5.08,5.11,3.17
0.71,Ideal,E,SI2,62.3,57,5.65,5.69,3.55
0.53,Ideal,D,VS2,61.2,56,5.26,5.21,3.21
0.31,Premium,F,VS2,60.7,59,4.34,4.29,2.64
0.52,Very Good,F,VS2,62.4,57,5.12,5.16,3.2
0.32,Ideal,H,VVS1,62.2,55,4.37,4.41,2.72
0.57,Ideal,D,SI2,60.9,57,5.37,5.36,3.26
0.42,Ideal,I,VS2,61,55,4.81,4.86,2.95
0.36,Good,I,VS1,63.1,56,4.49,4.54,2.86
0.7,Good,G,VS1,57.8,60,5.89,5.89,3.39
0.43,Ideal,E,VS2,62,55,4.84,4.81,3.02
0.3,Very Good,H,SI1,62.5,58,4.26,4.28,2.67
2.29,Good,H,SI1,63.8,61,8.28,8.23,5.34
0.71,Ideal,D,SI2,60.4,56,5.8,5.81,3.49
0.32,Ideal,G,SI1,61.3,55,4.39,4.43,2.69
0.32,Premium,H,SI2,61.8,59,4.37,4.41,2.7
0.42,Ideal,D,SI1,62.1,54,4.85,4.87,2.99
1.53,Premium,G,VVS1,63,59,7.38,7.25,4.63
0.35,Ideal,E,VVS1,61.8,56,4.52,4.54,2.82
1.22,Premium,J,SI2,62.6,59,6.79,6.8,4.26
0.24,Very Good,E,VVS2,62.2,57,3.96,3.98,2.48
0.3,Ideal,D,VS2,61.2,61,4.27,4.32,2.61
1.2,Premium,F,VVS2,62.8,59,6.78,6.84,4.24
0.31,Good,G,SI2,63.2,55,4.33,4.29,2.74
0.36,Good,E,VVS1,58.2,52,4.68,4.71,2.74
1.05,Premium,G,VS1,62,59,6.53,6.45,4.05
0.31,Premium,G,VVS1,59.9,62,4.44,4.39,2.64
0.32,Very Good,F,SI1,59.3,62,4.48,4.45,2.68
1.21,Premium,I,VS2,61.9,59,6.89,6.79,4.25
2.32,Premium,I,VS2,60.8,58,8.6,8.44,5.17
0.31,Ideal,F,SI1,61.7,53,4.35,4.38,2.68
1.01,Premium,F,SI2,62.2,60,6.43,6.37,3.98
0.9,Very Good,E,SI1,63.1,61,6.12,6.09,3.86
0.44,Ideal,E,VVS2,61.8,53,4.91,4.92,3.03
0.72,Ideal,E,SI1,61,56,5.77,5.8,3.55
0.62,Ideal,E,SI1,60.7,57,5.54,5.53,3.35
0.3,Very Good,E,SI1,60.9,61,4.27,4.29,2.6
0.71,Good,I,VS2,64.3,58,5.63,5.59,3.61
0.54,Ideal,E,SI1,60.5,57,5.27,5.29,3.19
0.9,Very Good,H,VVS2,59.7,63,6.33,6.38,3.76
1.01,Fair,F,SI1,66.8,62,6.07,5.94,4.01
0.4,Ideal,D,VVS2,60.9,57,4.81,4.73,2.91
1.66,Premium,H,SI1,61,61,7.63,7.62,4.69
1.02,Very Good,E,SI2,58.7,59,6.64,6.54,3.84
0.31,Good,D,SI1,63.5,58,4.26,4.31,2.73
0.79,Ideal,G,VS2,61.8,57,5.93,5.98,3.66
1.05,Very Good,E,I1,60.2,63,6.59,6.54,3.97
1.01,Very Good,D,SI2,58.3,63,6.54,6.49,3.85
0.54,Ideal,G,SI1,62.4,57,5.21,5.24,3.24
0.35,Ideal,I,IF,62.5,55,4.54,4.52,2.82
1.2,Premium,G,VS1,62,59,6.77,6.84,4.18
0.91,Very Good,E,SI1,63.9,56,6.05,6.09,3.89
0.41,Premium,G,VS2,60.9,59,4.81,4.78,2.93
1.01,Very Good,F,SI1,60.6,55,6.38,6.43,3.9
0.32,Ideal,E,VS1,61.9,55,4.43,4.4,2.73
0.54,Ideal,G,VS1,61.6,54,5.24,5.28,3.24
0.43,Ideal,D,VS2,60.7,57,4.84,4.92,2.97
0.52,Premium,D,SI1,61.5,58,5.17,5.14,3.2
1.11,Ideal,H,SI2,61.3,55,6.61,6.73,4.11
0.59,Very Good,E,VS2,59.9,59,5.46,5.5,3.29
0.3,Premium,G,VS1,61.9,59,4.34,4.31,2.69
0.35,Ideal,E,VS2,62,57,4.51,4.6,2.8
0.35,Ideal,E,VVS2,62.1,57,4.5,4.51,2.8
1.52,Premium,D,VS2,59.8,58,7.51,7.48,4.45
2.06,Ideal,I,VVS2,61.4,59,8.11,8.14,5.03
0.3,Ideal,F,SI1,62.5,56,4.3,4.32,2.69
0.55,Ideal,F,VS1,61.8,54,5.26,5.3,3.26
1.02,Premium,G,SI2,60.9,61,6.56,6.51,3.98
0.43,Very Good,E,SI2,62.7,59,4.83,4.88,3.02
0.7,Very Good,D,VS2,61.2,57,5.7,5.73,3.5
0.41,Ideal,I,VVS2,61.6,57,4.73,4.79,2.94
1.04,Very Good,G,VS2,62.3,57,6.42,6.45,4
0.7,Premium,I,VS2,62,58,5.63,5.57,3.5
0.91,Premium,H,SI2,60.9,61,6.24,6.19,3.79
2.01,Very Good,I,SI2,59.5,61,8.18,8.23,4.89
0.33,Ideal,G,SI2,61.9,54,4.46,4.44,2.76
1.01,Premium,H,SI1,59.8,59,6.49,6.47,3.9
0.51,Very Good,E,VS2,64.1,56,5.06,5.11,3.24
0.34,Very Good,I,VS2,61.6,56,4.48,4.51,2.77
1.51,Premium,H,SI2,62.4,57,7.3,7.22,4.57
0.51,Very Good,J,VS2,60.1,59,5.13,5.16,3.12
0.33,Very Good,D,VVS2,61.9,58,4.39,4.46,2.72
0.35,Very Good,F,VVS1,61.3,57,4.51,4.53,2.78
0.5,Premium,G,VS1,60.3,59,5.15,5.12,3.08
0.55,Ideal,G,VVS2,61.4,55,5.26,5.28,3.24
0.44,Ideal,G,SI1,62.7,57,4.86,4.88,3.05
0.71,Premium,J,SI2,62.7,61,5.66,5.64,3.53
1.01,Fair,G,VS2,65.7,52,6.29,6.24,4.13
0.4,Ideal,J,VVS1,62.3,55,4.72,4.76,2.95
0.31,Ideal,F,VS1,62.1,53,4.31,4.27,2.69
0.61,Ideal,F,VS1,61.5,55,5.48,5.45,3.37
1.2,Very Good,E,SI1,63.2,57,6.73,6.65,4.28
0.52,Premium,F,VS2,60.7,58,5.17,5.14,3.12
0.31,Premium,D,SI2,60.1,60,4.41,4.38,2.65
1.2,Ideal,G,VS2,61.9,55,6.86,6.79,4.25
0.44,Premium,G,SI1,61.9,58,4.84,4.89,3
0.42,Premium,E,SI1,60,60,4.85,4.86,2.9
0.43,Premium,D,VS2,59.7,58,4.89,4.88,2.94
1.05,Premium,E,SI1,62.2,56,6.48,6.51,4.05
0.92,Ideal,E,SI2,62.2,56,6.22,6.27,3.87
0.32,Good,H,VS2,63.3,55,4.32,4.36,2.75
1.06,Good,G,VS2,63.8,60,6.34,6.3,4.07
1.08,Good,E,SI2,63.2,56,6.53,6.58,4.12
0.9,Very Good,F,SI2,60.8,56,6.16,6.21,3.78
0.32,Good,D,I1,63.7,54,4.31,4.35,2.76
0.43,Ideal,E,VS1,61.7,57,4.88,4.85,2.96
1.01,Very Good,H,SI2,60.6,59,6.48,6.55,3.9
0.92,Ideal,G,VS2,63,57,6.16,6.09,3.87
1.02,Premium,D,SI1,60.6,59,6.52,6.51,3.95
0.41,Ideal,D,SI1,60.3,56,4.77,4.83,2.9
0.65,Premium,E,VS1,61.1,59,5.57,5.64,3.41
1.5,Very Good,G,SI2,63.1,63,7.27,7.25,4.56
1.46,Ideal,H,SI2,62.4,56,7.3,7.37,4.56
0.9,Premium,E,SI1,62.7,60,6.18,6.1,3.86
0.33,Ideal,H,VVS1,62.1,54,4.44,4.4,2.75
0.37,Premium,I,VS1,60.4,58,4.6,4.63,2.81
0.3,Premium,H,VVS1,60.7,59,4.36,4.35,2.64
1.05,Premium,G,SI2,61.3,59,6.56,6.49,4.02
1.51,Very Good,F,VS1,63.2,59,7.23,7.28,4.57
0.41,Ideal,G,IF,62,55,4.78,4.81,2.97
1.6,Ideal,J,VS2,62.4,56,7.52,7.45,4.66
0.31,Ideal,F,VS2,62.1,57,4.35,4.39,2.68
1.55,Ideal,H,VS1,61.2,56,7.51,7.47,4.59
0.54,Very Good,E,SI2,63.3,55,5.14,5.16,3.24
0.71,Ideal,E,VS1,62.3,54,5.69,5.79,3.56
0.7,Very Good,E,SI1,62.9,57,5.65,5.68,3.55
0.33,Premium,E,VS2,61.7,58,4.39,4.44,2.73
0.57,Premium,F,VS2,60.4,60,5.44,5.33,3.27
0.7,Ideal,I,SI1,59.9,57,5.73,5.85,3.46
2.2,Premium,E,SI2,61.5,58,8.41,8.35,5.17
0.32,Premium,G,VVS2,62,57,4.41,4.38,2.71
0.3,Premium,G,IF,61,62,4.31,4.27,2.63
0.31,Ideal,D,VVS1,61.8,56,4.34,4.36,2.68
2.01,Fair,I,SI2,69.1,56,7.6,7.55,5.37
1.22,Premium,H,SI1,62.4,59,6.85,6.79,4.25
0.3,Good,H,SI1,63.7,56,4.26,4.22,2.72
0.97,Very Good,F,SI2,61.2,59,6.31,6.34,3.87
0.36,Ideal,H,VS1,62.2,55,4.57,4.61,2.87
0.5,Very Good,E,SI1,63,63,4.99,4.94,3.17
0.51,Good,E,SI2,64.2,58,5.06,5.09,3.25
1.47,Premium,I,SI2,60.8,58,7.34,7.37,4.46
2.12,Very Good,G,SI2,62.2,60,8.14,8.2,5.09
1.01,Good,D,SI1,64.1,62,6.31,6.26,4.03
0.31,Premium,H,VS2,61.9,59,4.34,4.36,2.68
0.43,Premium,G,SI1,62.3,58,4.83,4.78,3
1.5,Good,G,SI2,57.9,60,7.55,7.5,4.34
1.83,Premium,H,VS2,60.5,62,7.89,7.8,4.8
0.7,Premium,E,SI1,61.9,60,5.68,5.67,3.53
1.05,Premium,G,VS2,61.1,57,6.55,6.54,4
1.52,Premium,D,SI1,60.8,60,7.4,7.29,4.49
0.4,Ideal,G,VVS1,62.4,53,4.73,4.77,2.95
0.31,Ideal,G,IF,61.6,55,4.38,4.39,2.71
0.31,Very Good,D,VVS1,61.9,59,4.29,4.32,2.69
0.53,Ideal,E,SI1,61.9,56,5.21,5.19,3.22
0.78,Premium,F,SI1,62.6,56,5.91,5.86,3.67
0.71,Very Good,E,VVS2,61.7,63,5.74,5.78,3.56
1.08,Very Good,I,SI1,63.2,55,6.54,6.57,4.12
0.79,Premium,G,VS2,60.8,56,5.98,5.96,3.66
0.42,Very Good,E,VVS2,59.4,58,4.86,4.91,2.93
0.33,Premium,I,VVS2,61.5,59,4.43,4.47,2.73
0.72,Very Good,I,VVS1,62.9,58,5.68,5.71,3.59
1.26,Very Good,H,SI2,63.5,57,6.74,6.75,4.35
0.31,Ideal,G,SI1,61.6,56,4.39,4.41,2.71
0.59,Ideal,E,SI1,60.7,56,5.47,5.49,3.31
1.03,Ideal,H,SI1,62,57,6.49,6.47,4.01
0.72,Ideal,G,SI2,62.6,56,5.74,5.68,3.59
0.62,Good,E,I1,61.7,60,5.62,5.52,3.37
0.36,Ideal,D,SI1,61.5,56,4.64,4.57,2.83
1.21,Ideal,H,VS1,60.7,59,6.88,6.81,4.17
0.71,Premium,F,VS2,62.4,59,5.67,5.7,3.52
0.72,Ideal,F,SI2,61.1,55,5.78,5.84,3.55
1.51,Ideal,J,VS1,61.6,56,7.35,7.49,4.51
0.54,Ideal,F,VS2,59.8,59,5.29,5.31,3.19
0.56,Ideal,G,SI1,62.5,54,5.24,5.27,3.29
0.3,Ideal,E,VS1,62.1,54.2,4.35,4.33,2.69
0.91,Premium,H,VS2,61.9,58,6.17,6.22,3.83
1.24,Ideal,H,SI2,62,54,6.9,6.92,4.27
1.2,Ideal,F,IF,61.6,57,6.84,6.79,4.2
0.92,Ideal,E,SI1,61,57,6.28,6.29,3.85
1.03,Good,H,SI2,64,61,6.35,6.28,4.07
1.57,Ideal,G,VVS2,62.5,54,7.48,7.37,4.63
0.45,Ideal,G,VS1,61.2,56,4.94,4.91,3.01
0.6,Premium,D,SI2,62.4,59,5.43,5.37,3.37
0.91,Good,H,SI1,63.5,61,6.04,6.08,3.85
2.3,Ideal,J,SI2,62.3,55,8.4,8.37,5.23
0.71,Ideal,E,VS2,62.2,55,5.72,5.67,3.55
0.41,Ideal,H,IF,61.8,55,4.78,4.8,2.96
0.4,Ideal,G,VS1,61.3,57,4.76,4.78,2.91
0.71,Premium,D,SI1,60.5,60,5.77,5.81,3.53
0.41,Ideal,E,VS1,60.4,57,4.82,4.85,2.91
0.51,Premium,H,SI1,61.6,56,5.15,5.11,3.17
0.3,Ideal,G,VS1,61.7,57,4.34,4.31,2.66
0.34,Ideal,G,VVS2,62,56,4.47,4.46,2.78
0.7,Very Good,I,SI2,63.5,57,5.61,5.63,3.58
1.7,Very Good,J,VS2,63.2,57,7.53,7.5,4.78
0.55,Ideal,F,VS2,61.1,57,5.27,5.32,3.24
0.34,Very Good,F,VS2,63.2,57,4.44,4.48,2.8
1.05,Very Good,G,SI2,62.9,59,6.44,6.51,4.08
1.08,Good,J,SI2,58.3,64,6.78,6.71,3.9
1.12,Premium,G,SI2,61.5,58,6.69,6.63,4.1
1.21,Ideal,E,SI1,62.2,56,6.78,6.8,4.22
0.31,Ideal,G,VS1,61.5,54,4.37,4.38,2.7
1.08,Very Good,G,SI2,62.3,56,6.5,6.58,4.06
0.44,Very Good,G,VVS2,58.5,61,5.05,5.09,2.9
0.3,Ideal,G,IF,60.9,57,4.32,4.35,2.63
0.52,Very Good,E,SI1,62.7,55,5.13,5.16,3.19
0.3,Ideal,D,VS2,61.8,55,4.34,4.32,2.69
0.75,Ideal,E,VS1,62,54,5.86,5.88,3.65
0.31,Premium,H,VS1,61.5,58,4.39,4.38,2.69
1.01,Premium,H,SI1,62.2,60,6.46,6.36,4
0.32,Very Good,F,VS2,59.5,56,4.53,4.53,2.66
1.17,Ideal,H,SI2,61.7,57,6.82,6.76,4.19
0.72,Premium,D,SI1,62.6,56,5.78,5.71,3.59
0.3,Very Good,H,VVS2,62,58,4.23,4.28,2.63
2.14,Premium,H,I1,62.3,58,8.26,8.2,5.14
1.59,Fair,F,SI2,61.8,57,7.46,7.53,4.58
0.5,Ideal,E,VS1,61.9,55,5.06,5.13,3.17
0.6,Premium,E,VS2,62.7,59,5.39,5.39,3.37
0.5,Fair,G,SI1,67.6,59,5.01,4.81,3.32
0.61,Very Good,D,SI1,60.3,63,5.48,5.42,3.29
1.56,Very Good,J,SI1,58.3,62,7.58,7.63,4.45
0.31,Ideal,G,IF,61.7,54,4.38,4.36,2.69
0.57,Ideal,G,VS1,62.1,56,5.29,5.34,3.3
0.31,Ideal,G,VVS2,62.4,56,4.36,4.32,2.71
1.01,Ideal,F,SI2,62.7,58,6.37,6.35,4.01
0.36,Good,H,VS2,63.7,55,4.57,4.5,2.89
1.31,Premium,H,SI2,59.4,60,7.14,7.11,4.27
1.01,Good,E,SI2,63.3,58,6.33,6.36,4.02
0.4,Very Good,G,VVS1,60.7,55,4.82,4.82,2.91
0.38,Premium,D,SI1,60.7,60,4.65,4.71,2.83
1.01,Ideal,D,SI2,62.6,58,6.37,6.47,4
0.3,Ideal,H,SI1,62.2,57,4.25,4.29,2.65
0.31,Premium,H,VVS2,61.2,60,4.32,4.29,2.65
1.01,Premium,D,VS2,59.2,58,6.52,6.44,3.83
1.47,Very Good,J,SI2,58.2,60,7.45,7.54,4.4
0.42,Ideal,G,VS1,61.4,56,4.81,4.85,2.98
0.32,Very Good,G,SI1,60.9,57,4.45,4.47,2.7
1.31,Ideal,G,I1,62.3,55,7.05,7.05,4.37
0.9,Premium,H,SI1,62.4,58,6.12,6.03,3.8
0.59,Ideal,J,VS1,60.9,57,5.42,5.43,3.31
0.5,Premium,F,VS2,60.7,59,5.13,5.1,3.1
0.32,Ideal,H,VS1,63,56,4.44,4.37,2.78
1.12,Premium,I,VS2,61.9,58,6.64,6.57,4.13
0.9,Very Good,D,SI1,62.5,63,6.06,6.12,3.81
0.35,Premium,G,SI2,61.6,60,4.54,4.5,2.79
0.72,Premium,E,SI2,62.9,58,5.75,5.73,3.57
0.9,Very Good,D,SI1,62.5,61,6.14,6.18,3.83
2.01,Good,I,SI1,63.8,57,7.92,7.96,5.03
1.22,Ideal,G,VS2,62,55,6.88,6.81,4.26
1.03,Ideal,G,VVS1,62.4,55,6.47,6.36,4.06
1.08,Very Good,D,SI2,59.2,59,6.63,6.73,3.97
0.45,Ideal,H,VS1,61.1,56,4.91,4.94,3.01
0.37,Very Good,H,SI1,62.6,60,4.59,4.63,2.85
0.33,Ideal,D,VS2,61.5,56,4.44,4.43,2.74
0.9,Very Good,H,SI2,62.1,54,6.14,6.18,3.83
1.12,Ideal,H,SI1,60.9,56,6.77,6.73,4.09
0.41,Premium,F,VS1,62.6,59,4.77,4.74,2.98
1.21,Very Good,F,VVS1,61.6,58,6.79,6.89,4.21
0.41,Ideal,F,SI1,62.9,57,4.75,4.71,2.98
1,Good,G,I1,56.5,62,6.66,6.6,0
0.55,Very Good,F,SI1,60.5,57,5.33,5.39,3.23
0.7,Good,E,VS2,63.8,58,5.6,5.63,3.56
1.21,Ideal,G,VVS1,61.4,56,6.87,6.9,4.2
0.51,Ideal,D,SI1,60.7,56,5.18,5.23,3.16
0.29,Good,F,VVS2,64,55,4.24,4.27,2.7
1.54,Ideal,F,SI1,63,55,7.33,7.25,4.6
0.3,Ideal,H,SI1,62.2,57,4.27,4.29,2.67
0.43,Very Good,F,VS1,61.6,61,4.78,4.84,2.97
0.73,Premium,F,SI1,62.8,59,5.77,5.71,3.6
2,Very Good,I,VVS2,63.6,59,7.91,7.94,5
0.5,Very Good,D,VS2,61.2,56,5.1,5.15,3.12
0.33,Very Good,F,VVS1,62,55,4.45,4.5,2.78
0.24,Very Good,F,VVS2,62.8,58,3.95,4.01,2.47
0.67,Very Good,I,SI2,61.8,55.2,5.71,5.74,3.49
0.41,Premium,G,SI1,60.3,59,4.81,4.75,2.87
0.26,Ideal,E,VVS2,62,56,4.08,4.11,2.54
0.4,Ideal,E,SI1,62.2,55,4.76,4.81,2.96
1.18,Ideal,H,VS1,62.6,54,6.78,6.79,4.24
2.22,Ideal,J,SI1,61.6,55,8.41,8.36,5.18
1.31,Very Good,I,SI2,60.9,57,7.02,7.07,4.29
0.7,Ideal,F,SI1,62.2,55,5.72,5.69,3.56
1.12,Very Good,F,VS2,60.8,57,6.67,6.74,4.08
1.03,Ideal,G,VS1,60.8,57,6.54,6.56,3.99
1,Premium,E,VS2,60,60,6.5,6.46,3.87
0.9,Very Good,E,VS2,59.1,59,6.27,6.3,3.76
0.31,Ideal,G,VS2,61.6,57,4.35,4.39,2.69
0.51,Ideal,E,SI1,61.5,55,5.17,5.16,3.18
0.33,Ideal,F,VVS1,61.9,55,4.42,4.46,2.75
0.9,Ideal,G,SI1,61.6,57,6.19,6.23,3.82
0.32,Ideal,F,VVS2,62.1,55,4.42,4.41,2.75
1.01,Very Good,G,SI1,62.9,54,6.36,6.3,4.01
